date,compound,negative,neutral,positive
2008-11-26,-0.227588,0.17867999999999998,0.77048,0.050839999999999996
2008-11-28,-0.23123600000000002,0.16356,0.78744,0.04904
2008-12-01,-0.148508,0.161,0.76812,0.07088
2008-12-02,-0.28084,0.21400000000000002,0.7173999999999999,0.06863999999999999
2008-12-03,-0.16224800000000003,0.14284,0.7683599999999998,0.08888000000000001
2008-12-04,-0.19229200000000002,0.20199999999999999,0.6944400000000001,0.1036
2008-12-05,-0.33760800000000013,0.21355999999999997,0.73988,0.046560000000000004
2008-12-08,-0.1401,0.15588000000000002,0.7783199999999999,0.06588
2008-12-09,-0.24081600000000003,0.20416,0.7205999999999999,0.07528
2008-12-10,-0.243684,0.20315999999999998,0.7046799999999999,0.09212
2008-12-11,-0.149852,0.12964,0.81668,0.053680000000000005
